"","LOCATION","TIME","GGEXP"
"1","AUT",1995,54.9398382253029
"2","AUT",1996,54.9912742216872
"3","AUT",1997,52.1322483262677
"4","AUT",1998,52.0915042926149
"5","AUT",1999,51.7273394192156
"6","AUT",2000,50.3397200662001
"7","AUT",2001,51.0197201507999
"8","AUT",2002,50.6981955359338
"9","AUT",2003,51.0164947303071
"10","AUT",2004,53.4400113090817
"11","AUT",2005,50.9830529911456
"12","AUT",2006,50.2031274626799
"13","AUT",2007,49.104635145467
"14","AUT",2008,49.7911265764417
"15","AUT",2009,54.1001772399129
"16","AUT",2010,52.7254075060882
"17","AUT",2011,50.8756075392214
"18","AUT",2012,51.0050785379054
"19","AUT",2013,50.8947629086343
"20","BEL",1995,51.8964539543324
"21","BEL",1996,52.1746580100212
"22","BEL",1997,50.9201262120025
"23","BEL",1998,50.0999189730905
"24","BEL",1999,49.5689238655999
"25","BEL",2000,48.559960034389
"26","BEL",2001,48.6786461390281
"27","BEL",2002,48.9313798556705
"28","BEL",2003,50.0822609920145
"29","BEL",2004,48.3354144976248
"30","BEL",2005,50.8267598986776
"31","BEL",2006,47.7800295106257
"32","BEL",2007,47.6204262676487
"33","BEL",2008,49.5753898990584
"34","BEL",2009,53.344362221566
"35","BEL",2010,52.4223160166639
"36","BEL",2011,53.3576888785722
"37","BEL",2012,54.9023666882626
"38","BEL",2013,54.7690470309321
"39","CHE",2005,34.0171587473349
"40","CHE",2006,32.2221176685914
"41","CHE",2007,30.9684597394288
"42","CHE",2008,31.1600822636846
"43","CHE",2009,33.1158908976529
"44","CHE",2010,32.9115199428686
"45","CHE",2011,32.9006683266995
"46","CHE",2012,33.2451438445833
"47","CHE",2013,33.5445828300276
"48","CZE",1995,51.8118617948694
"49","CZE",1996,40.8720075117702
"50","CZE",1997,41.4528971576979
"51","CZE",1998,41.7239533330502
"52","CZE",1999,41.0416573548474
"53","CZE",2000,40.3513822214167
"54","CZE",2001,42.501850602436
"55","CZE",2002,44.3138762163346
"56","CZE",2003,48.5112076662443
"57","CZE",2004,42.1458239307183
"58","CZE",2005,41.8174557669618
"59","CZE",2006,40.7975065659082
"60","CZE",2007,39.9519131775274
"61","CZE",2008,40.1591544041286
"62","CZE",2009,43.6189561650731
"63","CZE",2010,42.9677278039969
"64","CZE",2011,42.4807042168437
"65","CZE",2012,43.873901737179
"66","CZE",2013,42.1081212202078
"67","DEU",1995,54.5667972699697
"68","DEU",1996,48.7857676813821
"69","DEU",1997,47.9389860148748
"70","DEU",1998,47.5759452589645
"71","DEU",1999,47.5333675564682
"72","DEU",2000,44.627541956456
"73","DEU",2001,46.8404247998715
"74","DEU",2002,47.193894871203
"75","DEU",2003,47.7067493063313
"76","DEU",2004,46.2332754930371
"77","DEU",2005,46.0431751605921
"78","DEU",2006,44.5273581949232
"79","DEU",2007,42.6936651241629
"80","DEU",2008,43.4200582416639
"81","DEU",2009,47.3646901978637
"82","DEU",2010,47.1023929676054
"83","DEU",2011,44.4948429962414
"84","DEU",2012,44.1122597881562
"85","DEU",2013,44.1453903474876
"86","DNK",1995,58.5259883664276
"87","DNK",1996,57.9984522400241
"88","DNK",1997,55.9075200086552
"89","DNK",1998,55.3952198504538
"90","DNK",1999,54.5332741049084
"91","DNK",2000,52.6867418487435
"92","DNK",2001,52.8374124879878
"93","DNK",2002,53.2142985284389
"94","DNK",2003,53.6393710531609
"95","DNK",2004,53.0248123033096
"96","DNK",2005,51.2236695393804
"97","DNK",2006,49.8163661895998
"98","DNK",2007,49.5794841956138
"99","DNK",2008,50.5208141984605
"100","DNK",2009,56.7977912909357
"101","DNK",2010,57.0600645262083
"102","DNK",2011,56.8432816771426
"103","DNK",2012,58.8094252185181
"104","DNK",2013,57.0774488666996
"105","DNK",2014,56.8927992639076
"106","ESP",1995,44.3308507696963
"107","ESP",1996,42.9857456679618
"108","ESP",1997,41.6059098656691
"109","ESP",1998,41.0304633944719
"110","ESP",1999,39.9341427792622
"111","ESP",2000,39.0882785299807
"112","ESP",2001,38.4582175409705
"113","ESP",2002,38.621998483894
"114","ESP",2003,38.2746380707729
"115","ESP",2004,38.6883285737503
"116","ESP",2005,38.3067939297159
"117","ESP",2006,38.2741023081945
"118","ESP",2007,38.9227678947305
"119","ESP",2008,41.1477441012285
"120","ESP",2009,45.7691787283811
"121","ESP",2010,45.6193976758536
"122","ESP",2011,45.647614518882
"123","ESP",2012,47.8762494342546
"124","ESP",2013,45.0665779736093
"125","EST",2000,36.3520273806997
"126","EST",2001,35.064080603523
"127","EST",2002,36.050394656952
"128","EST",2003,35.151477572317
"129","EST",2004,34.308988983957
"130","EST",2005,33.9468847393516
"131","EST",2006,33.8655391958562
"132","EST",2007,34.2352767382312
"133","EST",2008,39.7456722569771
"134","EST",2009,45.6783822263192
"135","EST",2010,40.3893882991914
"136","EST",2011,37.4096377229396
"137","EST",2012,38.9302916856186
"138","EST",2013,38.3247829985511
"139","FIN",1990,47.8518844083068
"140","FIN",1991,56.6431314827166
"141","FIN",1992,61.7357280912648
"142","FIN",1993,64.1181135420068
"143","FIN",1994,62.5451701040014
"144","FIN",1995,61.0525995373189
"145","FIN",1996,59.512051734274
"146","FIN",1997,56.0927594863552
"147","FIN",1998,52.3649715073682
"148","FIN",1999,50.9592430056018
"149","FIN",2000,48.0144722260955
"150","FIN",2001,47.3382858962731
"151","FIN",2002,48.5248400083621
"152","FIN",2003,49.383449122182
"153","FIN",2004,49.307470484676
"154","FIN",2005,49.2770109558542
"155","FIN",2006,48.3431239644525
"156","FIN",2007,46.7992968314539
"157","FIN",2008,48.263134256702
"158","FIN",2009,54.7613918211999
"159","FIN",2010,54.7659005879209
"160","FIN",2011,54.3554343243477
"161","FIN",2012,56.1426075988648
"162","FIN",2013,57.5590772554416
"163","FRA",1995,54.1844800717081
"164","FRA",1996,54.2633146669844
"165","FRA",1997,53.9162862697819
"166","FRA",1998,52.3438741926557
"167","FRA",1999,52.0566924615757
"168","FRA",2000,51.1284229547776
"169","FRA",2001,51.2147577185201
"170","FRA",2002,52.2984032080107
"171","FRA",2003,52.7840443424423
"172","FRA",2004,52.5237905959924
"173","FRA",2005,52.8780831364724
"174","FRA",2006,52.4931917527264
"175","FRA",2007,52.2271505445425
"176","FRA",2008,52.9904551945287
"177","FRA",2009,56.7611836306747
"178","FRA",2010,56.443719004584
"179","FRA",2011,55.919290394137
"180","FRA",2012,56.7999677995754
"181","FRA",2013,57.0496063196736
"182","GBR",1997,38.6504400738889
"183","GBR",1998,38.0578448728212
"184","GBR",1999,37.9806713456989
"185","GBR",2000,37.7879614779752
"186","GBR",2001,39.0914313615784
"187","GBR",2002,39.9923465769664
"188","GBR",2003,41.1570259044805
"189","GBR",2004,42.2844426809826
"190","GBR",2005,42.7307808523336
"191","GBR",2006,42.8870626039726
"192","GBR",2007,42.7864011539656
"193","GBR",2008,46.568070350231
"194","GBR",2009,49.5974697908835
"195","GBR",2010,48.7300938318843
"196","GBR",2011,46.7485242176501
"197","GBR",2012,46.6916244348321
"198","GBR",2013,44.9639153658119
"199","HUN",1995,55.3768284949674
"200","HUN",1996,51.0183330531192
"201","HUN",1997,49.5805193976127
"202","HUN",1998,50.7707194625672
"203","HUN",1999,48.6975754231157
"204","HUN",2000,47.2064122697836
"205","HUN",2001,47.2460980420245
"206","HUN",2002,50.9503570785469
"207","HUN",2003,49.1288114515386
"208","HUN",2004,48.6309820680728
"209","HUN",2005,49.5551132720667
"210","HUN",2006,51.6572799924437
"211","HUN",2007,50.0651248435655
"212","HUN",2008,48.7467340086393
"213","HUN",2009,50.633355802077
"214","HUN",2010,49.5553827588253
"215","HUN",2011,49.7521133456928
"216","HUN",2012,48.5931673131749
"217","HUN",2013,49.3533328865237
"218","IRL",1995,40.8538922355013
"219","IRL",1996,39.0276641770678
"220","IRL",1997,36.5299896240691
"221","IRL",1998,34.6189030838695
"222","IRL",1999,33.9910807721361
"223","IRL",2000,30.9025267778345
"224","IRL",2001,32.5128986313871
"225","IRL",2002,33.0297426426133
"226","IRL",2003,32.9265323809176
"227","IRL",2004,33.0863483912514
"228","IRL",2005,33.3127143229195
"229","IRL",2006,33.8300436340628
"230","IRL",2007,35.8884607245825
"231","IRL",2008,41.847855392552
"232","IRL",2009,47.1754787910396
"233","IRL",2010,65.5642748989908
"234","IRL",2011,45.4224031971205
"235","IRL",2012,41.7248956831268
"236","IRL",2013,39.5423236306707
"237","ISL",2013,44.1196279342098
"238","ISR",1995,50.6039350428442
"239","ISR",1996,50.5290742224189
"240","ISR",1997,49.5580789980596
"241","ISR",1998,51.8505467941277
"242","ISR",1999,50.453151100035
"243","ISR",2000,48.1524968946278
"244","ISR",2001,50.1680578394171
"245","ISR",2002,51.4717100208209
"246","ISR",2003,50.2833283448572
"247","ISR",2004,47.0151094446702
"248","ISR",2005,45.9369120584174
"249","ISR",2006,44.5776249234616
"250","ISR",2007,42.5915558599553
"251","ISR",2008,42.3136498812473
"252","ISR",2009,42.3770390951905
"253","ISR",2010,41.6259462480664
"254","ISR",2011,41.0380071574865
"255","ISR",2012,41.479640369129
"256","ISR",2013,41.4601639868979
"257","ISR",2014,41.2058506919261
"258","ITA",1995,51.7857224018368
"259","ITA",1996,51.6212868845694
"260","ITA",1997,49.6050466128919
"261","ITA",1998,48.2933565022679
"262","ITA",1999,47.3488948752107
"263","ITA",2000,45.479893939101
"264","ITA",2001,47.4991905051254
"265","ITA",2002,46.7667555020536
"266","ITA",2003,47.2243921291059
"267","ITA",2004,46.8170812536626
"268","ITA",2005,47.1222885158838
"269","ITA",2006,47.6076488591978
"270","ITA",2007,46.769218571173
"271","ITA",2008,47.8074601645061
"272","ITA",2009,51.1332508024952
"273","ITA",2010,49.8534459747813
"274","ITA",2011,49.1155014346091
"275","ITA",2012,50.8041115368032
"276","ITA",2013,50.8750817952159
"277","JPN",2005,36.4474313508751
"278","JPN",2006,35.9574846009469
"279","JPN",2007,35.8985775530669
"280","JPN",2008,37.6247408018965
"281","JPN",2009,41.8631498537479
"282","JPN",2010,40.6101648394932
"283","JPN",2011,42.1895700247056
"284","JPN",2012,41.9549224769654
"285","JPN",2013,42.38309367502
"286","KOR",1970,19.9584943466438
"287","KOR",1971,20.7963184108584
"288","KOR",1972,19.8976477768909
"289","KOR",1973,18.5979867597715
"290","KOR",1974,19.1994822269318
"291","KOR",1975,22.9707475416702
"292","KOR",1976,21.5052868204146
"293","KOR",1977,22.0536384399821
"294","KOR",1978,20.5278322829705
"295","KOR",1979,21.2487080564513
"296","KOR",1980,23.0078563411897
"297","KOR",1981,25.6236314978509
"298","KOR",1982,23.8482832852022
"299","KOR",1983,22.8906578658909
"300","KOR",1984,21.1637955394345
"301","KOR",1985,21.5299015584666
"302","KOR",1986,20.45518370938
"303","KOR",1987,19.420339769843
"304","KOR",1988,19.6146547523693
"305","KOR",1989,20.7976491884685
"306","KOR",1990,21.4028666906409
"307","KOR",1991,22.2751271364534
"308","KOR",1992,23.1402648102189
"309","KOR",1993,22.8237351313575
"310","KOR",1994,21.5876774532296
"311","KOR",1995,21.9700037605458
"312","KOR",1996,22.4953485549344
"313","KOR",1997,23.2626330944395
"314","KOR",1998,26.3657992117096
"315","KOR",1999,25.6757122194009
"316","KOR",2000,24.7122804929465
"317","KOR",2001,26.4091498999731
"318","KOR",2002,26.0712374706161
"319","KOR",2003,32.5701710153946
"320","KOR",2004,29.6279330084674
"321","KOR",2005,29.4838873738812
"322","KOR",2006,30.1113311814881
"323","KOR",2007,29.6746882697642
"324","KOR",2008,32.005106056883
"325","KOR",2009,34.8844298875114
"326","KOR",2010,31.0014715784615
"327","KOR",2011,32.3464880192634
"328","KOR",2012,32.7278454560495
"329","KOR",2013,31.7599678868462
"330","LUX",1995,39.0443351083896
"331","LUX",1996,40.1531918518369
"332","LUX",1997,39.4823488690641
"333","LUX",1998,39.8932349254585
"334","LUX",1999,38.0580032439394
"335","LUX",2000,36.8692889900348
"336","LUX",2001,37.441138839652
"337","LUX",2002,40.980389781853
"338","LUX",2003,42.6533680098001
"339","LUX",2004,42.9865331429295
"340","LUX",2005,43.0445457144299
"341","LUX",2006,39.7076263196176
"342","LUX",2007,37.6602359238538
"343","LUX",2008,39.6392579567248
"344","LUX",2009,45.2778467086869
"345","LUX",2010,44.1996179681471
"346","LUX",2011,42.906417473222
"347","LUX",2012,44.0831594915328
"348","LUX",2013,43.0620892071739
"349","NLD",1995,53.5272222068537
"350","NLD",1996,46.9290013021903
"351","NLD",1997,45.3538871276657
"352","NLD",1998,44.1113237352786
"353","NLD",1999,43.4714274005756
"354","NLD",2000,41.7715444995213
"355","NLD",2001,43.1398627217346
"356","NLD",2002,43.9129546755214
"357","NLD",2003,44.7426436484425
"358","NLD",2004,43.6419125127162
"359","NLD",2005,42.3167506401104
"360","NLD",2006,43.0408900368086
"361","NLD",2007,42.4525502217584
"362","NLD",2008,43.5655693461605
"363","NLD",2009,48.1808465848366
"364","NLD",2010,48.2092185104954
"365","NLD",2011,47.0143670607485
"366","NLD",2012,47.1252270740463
"367","NLD",2013,46.2141453499002
"368","NOR",2002,46.7065680199926
"369","NOR",2003,47.8695219166554
"370","NOR",2004,44.9782012266124
"371","NOR",2005,42.0638208655657
"372","NOR",2006,40.80838274699
"373","NOR",2007,41.4443237280843
"374","NOR",2008,40.246413191166
"375","NOR",2009,46.0876207660376
"376","NOR",2010,45.0070248551305
"377","NOR",2011,43.8137474825151
"378","NOR",2012,42.9330421339751
"379","NOR",2013,44.0390237099115
"380","PRT",1995,42.6239469022653
"381","PRT",1996,43.1492585089748
"382","PRT",1997,42.4483152337721
"383","PRT",1998,42.6984226054034
"384","PRT",1999,42.55269727276
"385","PRT",2000,42.6440925501827
"386","PRT",2001,44.1132394361137
"387","PRT",2002,43.7186228834554
"388","PRT",2003,45.3225786179732
"389","PRT",2004,46.0642255541096
"390","PRT",2005,46.6768329907619
"391","PRT",2006,45.2415947996951
"392","PRT",2007,44.486599207306
"393","PRT",2008,45.3355003283846
"394","PRT",2009,50.223470529961
"395","PRT",2010,51.8186002439662
"396","PRT",2011,49.9798264799127
"397","PRT",2012,48.8228869316114
"398","PRT",2013,50.3522986262816
"399","RUS",2005,34.1538875097927
"400","RUS",2006,32.3963025368603
"401","RUS",2007,35.2588505777328
"402","RUS",2008,34.3642023916884
"403","RUS",2009,41.4195586797349
"404","RUS",2010,39.2619877863913
"405","RUS",2011,36.3372822145978
"406","RUS",2012,37.7007631581677
"407","RUS",2013,38.7373175161751
"408","SVK",1995,48.1526307977262
"409","SVK",1996,53.087239180575
"410","SVK",1997,48.239008038053
"411","SVK",1998,45.3587457240653
"412","SVK",1999,47.7395147173271
"413","SVK",2000,51.8297261700046
"414","SVK",2001,44.2954662844643
"415","SVK",2002,44.8683500321702
"416","SVK",2003,39.6479393733209
"417","SVK",2004,37.5729203069564
"418","SVK",2005,39.3808317665208
"419","SVK",2006,38.4881414541717
"420","SVK",2007,36.0521079707615
"421","SVK",2008,36.312522662724
"422","SVK",2009,43.8251569822891
"423","SVK",2010,41.8713409748109
"424","SVK",2011,40.3953005412166
"425","SVK",2012,40.0687638745334
"426","SVK",2013,40.8920214194097
"427","SVN",1999,45.823562087022
"428","SVN",2000,46.1411165079619
"429","SVN",2001,46.9512365245378
"430","SVN",2002,45.830562315827
"431","SVN",2003,45.8134216421545
"432","SVN",2004,45.3210203558019
"433","SVN",2005,44.8806566620818
"434","SVN",2006,44.1956965816923
"435","SVN",2007,42.1582022832457
"436","SVN",2008,43.9675014143166
"437","SVN",2009,48.4628465252086
"438","SVN",2010,49.1813928059443
"439","SVN",2011,49.7777012871209
"440","SVN",2012,48.1246538804706
"441","SVN",2013,60.0942923575512
"442","SWE",1995,63.5100941726367
"443","SWE",1996,61.436523854505
"444","SWE",1997,59.2471701280815
"445","SWE",1998,57.2707595388482
"446","SWE",1999,56.5716977068209
"447","SWE",2000,53.5937451425374
"448","SWE",2001,53.0387025700831
"449","SWE",2002,54.2419167306127
"450","SWE",2003,54.3693504929698
"451","SWE",2004,52.7805098899689
"452","SWE",2005,52.6906614678924
"453","SWE",2006,51.3488676159158
"454","SWE",2007,49.6523410451697
"455","SWE",2008,50.3360344598047
"456","SWE",2009,53.0980149362523
"457","SWE",2010,52.041310297688
"458","SWE",2011,51.4396387659825
"459","SWE",2012,52.594387755102
"460","SWE",2013,53.3685030593577
"461","TUR",2006,32.9860457012314
"462","TUR",2007,34.7045330707274
"463","TUR",2008,36.3365862982469
"464","TUR",2009,43.1110301496977
"465","TUR",2010,40.2419356459247
"466","TUR",2011,37.373516333397
"467","USA",1970,34.0122169304498
"468","USA",1971,34.3009325466487
"469","USA",1972,34.1289985020847
"470","USA",1973,33.0160183514881
"471","USA",1974,34.1787484060497
"472","USA",1975,36.4771514154287
"473","USA",1976,35.0205875946095
"474","USA",1977,34.0795637097899
"475","USA",1978,33.2866270526116
"476","USA",1979,33.1318245247314
"477","USA",1980,34.914873511138
"478","USA",1981,35.0845667147105
"479","USA",1982,37.2836578633545
"480","USA",1983,37.3176436181485
"481","USA",1984,36.1604061481533
"482","USA",1985,36.7199143080759
"483","USA",1986,37.1306415578559
"484","USA",1987,36.8772069088503
"485","USA",1988,36.0165547576271
"486","USA",1989,36.0917426944163
"487","USA",1990,37.0259895788824
"488","USA",1991,37.8751168399702
"489","USA",1992,38.7045614522291
"490","USA",1993,38.1426306471642
"491","USA",1994,37.1849514725832
"492","USA",1995,37.1185898857786
"493","USA",1996,36.4231332037316
"494","USA",1997,35.3061823090277
"495","USA",1998,34.4338447699503
"496","USA",1999,34.0088383524708
"497","USA",2000,33.6711756275949
"498","USA",2001,34.9476794192787
"499","USA",2002,36.0181276015681
"500","USA",2003,36.5635970799267
"501","USA",2004,36.3089298772262
"502","USA",2005,36.4042824784939
"503","USA",2006,36.1446772664444
"504","USA",2007,36.9024429749748
"505","USA",2008,38.951177497941
"506","USA",2009,42.9050210285379
"507","USA",2010,42.5924121640387
"508","USA",2011,41.4858403113921
"509","USA",2012,40.0758395961666
"510","USA",2013,38.9586798412469
